size,density,graph_type,mst_algo,runtime
10,0,matrix,prims,0.000779291
10,0,matrix,prims,0.000754667
10,0,matrix,prims,0.000759625
10,0,matrix,prims,0.000773167
10,0,matrix,prims,0.000762958
10,0,matrix,prims,0.000755542
10,0,matrix,prims,0.000754541
10,0,matrix,prims,0.000865458
10,0,matrix,prims,0.000760166
10,0,matrix,prims,0.000704542
10,0,matrix,kruskals,0.000943334
10,0,matrix,kruskals,0.000956
10,0,matrix,kruskals,0.000961875
10,0,matrix,kruskals,0.000947834
10,0,matrix,kruskals,0.000954
10,0,matrix,kruskals,0.000984667
10,0,matrix,kruskals,0.000967625
10,0,matrix,kruskals,0.000963208
10,0,matrix,kruskals,0.001124375
10,0,matrix,kruskals,0.001023625
10,0,list,prims,0.000369708
10,0,list,prims,0.00035725
10,0,list,prims,0.000340334
10,0,list,prims,0.000335042
10,0,list,prims,0.000341334
10,0,list,prims,0.00034925
10,0,list,prims,0.0003615
10,0,list,prims,0.000361625
10,0,list,prims,0.000366958
10,0,list,prims,0.000337125
10,0,list,kruskals,0.00055975
10,0,list,kruskals,0.000556708
10,0,list,kruskals,0.000548625
10,0,list,kruskals,0.000537042
10,0,list,kruskals,0.000535333
10,0,list,kruskals,0.000551
10,0,list,kruskals,0.000536166
10,0,list,kruskals,0.000542583
10,0,list,kruskals,0.000575083
10,0,list,kruskals,0.000568875
10,25,matrix,prims,0.00080525
10,25,matrix,prims,0.000767958
10,25,matrix,prims,0.000768542
10,25,matrix,prims,0.000784917
10,25,matrix,prims,0.000816
10,25,matrix,prims,0.000781583
10,25,matrix,prims,0.000733708
10,25,matrix,prims,0.000704083
10,25,matrix,prims,0.000711416
10,25,matrix,prims,0.000744958
10,25,matrix,kruskals,0.001125916
10,25,matrix,kruskals,0.001118834
10,25,matrix,kruskals,0.001139791
10,25,matrix,kruskals,0.001098375
10,25,matrix,kruskals,0.001208916
10,25,matrix,kruskals,0.001098584
10,25,matrix,kruskals,0.001115166
10,25,matrix,kruskals,0.00111875
10,25,matrix,kruskals,0.001131333
10,25,matrix,kruskals,0.001118291
10,25,list,prims,0.000436375
10,25,list,prims,0.000404416
10,25,list,prims,0.000392125
10,25,list,prims,0.000394625
10,25,list,prims,0.000405459
10,25,list,prims,0.000411792
10,25,list,prims,0.000397208
10,25,list,prims,0.000399917
10,25,list,prims,0.000412334
