size,density,graph_type,mst_algo,maze_num,runtime
10,0,matrix,prims,0,0.0007371250030701049
10,0,matrix,kruskals,0,0.0009722920003696345
10,0,list,prims,0,0.0003353339998284355
10,0,list,kruskals,0,0.0005319999982020818
10,0,matrix,prims,1,0.0007554580006399192
10,0,matrix,kruskals,1,0.0010103750028065406
10,0,list,prims,1,0.00034500000037951395
10,0,list,kruskals,1,0.000545374998182524
10,0,matrix,prims,2,0.000750166000216268
10,0,matrix,kruskals,2,0.0009914160036714748
10,0,list,prims,2,0.0003312089975224808
10,0,list,kruskals,2,0.0005344589953892864
10,0,matrix,prims,3,0.0007288750057341531
10,0,matrix,kruskals,3,0.0009732499966048636
10,0,list,prims,3,0.00034516600135248154
10,0,list,kruskals,3,0.000537291998625733
10,0,matrix,prims,4,0.0007547919958597049
10,0,matrix,kruskals,4,0.00105516699841246
10,0,list,prims,4,0.0003431250006542541
10,0,list,kruskals,4,0.0005448749943752773
10,0,matrix,prims,5,0.0007859580000513233
10,0,matrix,kruskals,5,0.0009898749995045364
10,0,list,prims,5,0.00033799999800976366
10,0,list,kruskals,5,0.0005405420015449636
10,0,matrix,prims,6,0.0007330420048674569
10,0,matrix,kruskals,6,0.0010285410025971942
10,0,list,prims,6,0.00033362500107614323
10,0,list,kruskals,6,0.0005705410003429279
10,0,matrix,prims,7,0.0007257090037455782
10,0,matrix,kruskals,7,0.0010129580041393638
10,0,list,prims,7,0.00034174999746028334
10,0,list,kruskals,7,0.0005338749979273416
10,0,matrix,prims,8,0.000772541003243532
10,0,matrix,kruskals,8,0.0009649580024415627
10,0,list,prims,8,0.0003321670010336675
10,0,list,kruskals,8,0.0005253749986877665
10,0,matrix,prims,9,0.0007181249966379255
10,0,matrix,kruskals,9,0.0009718750006868504
10,0,list,prims,9,0.0003351250052219257
10,0,list,kruskals,9,0.0005306250022840686
10,25,matrix,prims,0,0.0007698749977862462
10,25,matrix,kruskals,0,0.0011372090011718683
10,25,list,prims,0,0.0004115410047234036
10,25,list,kruskals,0,0.0007117500063031912
10,25,matrix,prims,1,0.0007607090010424145
10,25,matrix,kruskals,1,0.0011438750007073395
10,25,list,prims,1,0.00038979199598543346
10,25,list,kruskals,1,0.0007186669972725213
10,25,matrix,prims,2,0.0007715000028838404
10,25,matrix,kruskals,2,0.001091500002075918
10,25,list,prims,2,0.00038587499875575304
10,25,list,kruskals,2,0.0007105420008883812
10,25,matrix,prims,3,0.0007906669998192228
10,25,matrix,kruskals,3,0.001134333993832115
10,25,list,prims,3,0.0003968329983763397
10,25,list,kruskals,3,0.0007113329993444495
10,25,matrix,prims,4,0.0007956670015119016
10,25,matrix,kruskals,4,0.0010967909984174185
10,25,list,prims,4,0.0003901250020135194
10,25,list,kruskals,4,0.0007045419988571666
10,25,matrix,prims,5,0.0007662499992875382
10,25,matrix,kruskals,5,0.0011470829995232634
10,25,list,prims,5,0.00038254200626397505
10,25,list,kruskals,5,0.0007466249953722581
10,25,matrix,prims,6,0.0007672500069020316
