size,density,graph_type,mst_algo,maze_num,runtime
10,0,matrix,prims,0,0.0007044999947538599
10,0,matrix,kruskals,0,0.0009479580039624125
10,0,list,prims,0,0.0003328750026412308
10,0,list,kruskals,0,0.0005657080037053674
10,0,matrix,prims,1,0.0007136249987524934
10,0,matrix,kruskals,1,0.0009281669990741648
10,0,list,prims,1,0.0003276659990660846
10,0,list,kruskals,1,0.00056412500271108
10,0,matrix,prims,2,0.0007167500007199124
10,0,matrix,kruskals,2,0.0009465830007684417
10,0,list,prims,2,0.00032195899984799325
10,0,list,kruskals,2,0.0005247920053079724
10,0,matrix,prims,3,0.000701542005117517
10,0,matrix,kruskals,3,0.0009892919988487847
10,0,list,prims,3,0.0003345830045873299
10,0,list,kruskals,3,0.0005237919976934791
10,0,matrix,prims,4,0.0006835829990450293
10,0,matrix,kruskals,4,0.0009340830001747236
10,0,list,prims,4,0.0003221669976483099
10,0,list,kruskals,4,0.0005587499981629662
10,0,matrix,prims,5,0.0006871250006952323
10,0,matrix,kruskals,5,0.0009583749997545965
10,0,list,prims,5,0.0003247089989599772
10,0,list,kruskals,5,0.0005256659933365881
10,0,matrix,prims,6,0.0007074159948388115
10,0,matrix,kruskals,6,0.0009304999985033646
10,0,list,prims,6,0.000323041997035034
10,0,list,kruskals,6,0.0005225000058999285
10,0,matrix,prims,7,0.0006827500037616119
10,0,matrix,kruskals,7,0.0009419580019311979
10,0,list,prims,7,0.00032704200566513464
10,0,list,kruskals,7,0.0005218750011408702
10,0,matrix,prims,8,0.0006982089980738238
10,0,matrix,kruskals,8,0.0009249170034308918
10,0,list,prims,8,0.00032083399855764583
10,0,list,kruskals,8,0.0005202090032980777
10,0,matrix,prims,9,0.0006987499946262687
10,0,matrix,kruskals,9,0.0009294999981648289
10,0,list,prims,9,0.00034358399716438726
10,0,list,kruskals,9,0.0005255829964880832
10,25,matrix,prims,0,0.000754166001570411
10,25,matrix,kruskals,0,0.0010891669953707606
10,25,list,prims,0,0.00038079200021456927
10,25,list,kruskals,0,0.0007475840029655956
10,25,matrix,prims,1,0.0007684159936616197
10,25,matrix,kruskals,1,0.0010885829979088157
10,25,list,prims,1,0.00038266600313363597
10,25,list,kruskals,1,0.0007055410023895092
10,25,matrix,prims,2,0.0007368750011664815
10,25,matrix,kruskals,2,0.001102750000427477
10,25,list,prims,2,0.0004218339963699691
10,25,list,kruskals,2,0.0006802080024499446
10,25,matrix,prims,3,0.0007272080038092099
