size,density,graph_type,mst_algo,maze_num,runtime
10,0,matrix,prims,0,0.0007126670025172643
10,0,matrix,kruskals,0,0.00098654099565465
10,0,list,prims,0,0.0003345000004628673
10,0,list,kruskals,0,0.0005342080039554276
10,0,matrix,prims,1,0.0007515830002375878
10,0,matrix,kruskals,1,0.0009490000011282973
10,0,list,prims,1,0.000338249999913387
10,0,list,kruskals,1,0.0005295829978422262
10,0,matrix,prims,2,0.0007183330017141998
10,0,matrix,kruskals,2,0.0009407499965163879
10,0,list,prims,2,0.0003206249966751784
10,0,list,kruskals,2,0.0005123749942868017
10,0,matrix,prims,3,0.0007145409981603734
10,0,matrix,kruskals,3,0.0009510419986327179
10,0,list,prims,3,0.000323874999594409
10,0,list,kruskals,3,0.0005170830045244657
10,0,matrix,prims,4,0.0007079999995767139
10,0,matrix,kruskals,4,0.0009632500004954636
10,0,list,prims,4,0.00032125000143423676
10,0,list,kruskals,4,0.0005204999979468994
10,0,matrix,prims,5,0.0007081670046318322
10,0,matrix,kruskals,5,0.0009684169999673031
10,0,list,prims,5,0.00035812499845633283
10,0,list,kruskals,5,0.0005249160021776333
10,0,matrix,prims,6,0.0007184170026448555
10,0,matrix,kruskals,6,0.0009672500018496066
10,0,list,prims,6,0.0003300829994259402
10,0,list,kruskals,6,0.0005177499988349155
10,0,matrix,prims,7,0.0007197079976322129
10,0,matrix,kruskals,7,0.0009547500012558885
10,0,list,prims,7,0.0003210829963791184
10,0,list,kruskals,7,0.0005334169982234016
10,0,matrix,prims,8,0.0007006250016274862
10,0,matrix,kruskals,8,0.0009755829960340634
10,0,list,prims,8,0.0003480830055195838
10,0,list,kruskals,8,0.0005249579990049824
10,0,matrix,prims,9,0.0007117079949239269
10,0,matrix,kruskals,9,0.0009365410005557351
10,0,list,prims,9,0.00035154200304532424
10,0,list,kruskals,9,0.0005207499998505227
10,25,matrix,prims,0,0.0007709159981459379
10,25,matrix,kruskals,0,0.0011065420039813034
10,25,list,prims,0,0.0003764590001082979
10,25,list,kruskals,0,0.0007206250011222437
10,25,matrix,prims,1,0.0008424589977948926
10,25,matrix,kruskals,1,0.0010935419995803386
10,25,list,prims,1,0.00038425000093411654
10,25,list,kruskals,1,0.0007135829946491867
10,25,matrix,prims,2,0.0008625839982414618
10,25,matrix,kruskals,2,0.0011089159961557016
10,25,list,prims,2,0.00038283400499494746
10,25,list,kruskals,2,0.0007012910064077005
10,25,matrix,prims,3,0.0007437500025844201
10,25,matrix,kruskals,3,0.0011267500012763776
10,25,list,prims,3,0.0003905420016963035
10,25,list,kruskals,3,0.000721415999578312
10,25,matrix,prims,4,0.0007487080001737922
10,25,matrix,kruskals,4,0.001083875002223067
10,25,list,prims,4,0.00037620800139848143
10,25,list,kruskals,4,0.0006836249958723783
10,25,matrix,prims,5,0.0007666669989703223
10,25,matrix,kruskals,5,0.0011179590001120232
10,25,list,prims,5,0.00038129199674585834
10,25,list,kruskals,5,0.0006931669995537959
10,25,matrix,prims,6,0.0007373749976977706
10,25,matrix,kruskals,6,0.0011437909997766837
10,25,list,prims,6,0.0003852910012938082
10,25,list,kruskals,6,0.0007014160000835545
10,25,matrix,prims,7,0.0007347080027102493
